Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;OI;05423963000111;Grande Porte;PR;Mallet;4113908;DTH;247
2019;6;OI;05423963000111;Grande Porte;BA;Cardeal da Silva;2907004;DTH;28
2019;6;OI;05423963000111;Grande Porte;SP;Lençóis Paulista;3526803;DTH;1
2019;6;OI;05423963000111;Grande Porte;BA;Itaju do Colônia;2915403;DTH;52
2019;6;OI;05423963000111;Grande Porte;MG;Abre Campo;3100302;DTH;309
2019;6;OI;05423963000111;Grande Porte;TO;Colinas do Tocantins;1705508;DTH;216
2019;6;OI;05423963000111;Grande Porte;PR;Presidente Castelo Branco;4120408;DTH;27
2019;6;OI;05423963000111;Grande Porte;PA;Santa Maria das Barreiras;1506583;DTH;116
2019;6;OI;05423963000111;Grande Porte;AL;Senador Rui Palmeira;2708956;DTH;75
2019;6;OI;05423963000111;Grande Porte;AL;Ouro Branco;2706109;DTH;90
2019;6;OI;05423963000111;Grande Porte;PR;Ibaiti;4109708;DTH;746
2019;6;OI;05423963000111;Grande Porte;MG;Morro da Garça;3143609;DTH;9
2019;6;OI;05423963000111;Grande Porte;MG;Joaquim Felício;3136405;DTH;54
2019;6;OI;05423963000111;Grande Porte;PR;Lidianópolis;4113429;DTH;24
2019;6;OI;05423963000111;Grande Porte;AL;Arapiraca;2700300;DTH;1360
2019;6;OI;05423963000111;Grande Porte;AL;Maceió;2704302;DTH;4479
2019;6;OI;05423963000111;Grande Porte;BA;Santo Antônio de Jesus;2928703;DTH;132
2019;6;OI;05423963000111;Grande Porte;TO;Divinópolis do Tocantins;1707108;DTH;21
2019;6;OI;05423963000111;Grande Porte;PR;Marilena;4115002;DTH;109
2019;6;OI;05423963000111;Grande Porte;BA;Itacaré;2914901;DTH;298
2019;6;OI;05423963000111;Grande Porte;PB;Água Branca;2500106;DTH;2
2019;6;OI;05423963000111;Grande Porte;TO;Juarina;1711803;DTH;6
2019;6;OI;05423963000111;Grande Porte;BA;Ubatã;2932309;DTH;318
2019;6;OI;05423963000111;Grande Porte;PR;Terra Rica;4127304;DTH;189
2019;6;OI;05423963000111;Grande Porte;PB;Marizópolis;2509156;DTH;2
2019;6;OI;05423963000111;Grande Porte;SP;Pratânia;3541059;DTH;1
2019;6;OI;05423963000111;Grande Porte;MG;Formiga;3126109;DTH;2009
2019;6;OI;05423963000111;Grande Porte;PR;Marialva;4114807;DTH;292
2019;6;OI;05423963000111;Grande Porte;BA;Aiquara;2900603;DTH;4
2019;6;OI;05423963000111;Grande Porte;SP;Piracicaba;3538709;DTH;11
2019;6;OI;05423963000111;Grande Porte;PB;Pilõezinhos;2511707;DTH;43
2019;6;OI;05423963000111;Grande Porte;RN;Baraúna;2401453;DTH;18
2019;6;OI;05423963000111;Grande Porte;TO;Fortaleza do Tabocão;1708254;DTH;17
2019;6;OI;05423963000111;Grande Porte;MG;Arcos;3104205;DTH;698
2019;6;OI;05423963000111;Grande Porte;MG;Arinos;3104502;DTH;206
2019;6;OI;05423963000111;Grande Porte;SE;Campo do Brito;2801009;DTH;264
2019;6;OI;05423963000111;Grande Porte;TO;Itacajá;1710508;DTH;37
2019;6;OI;05423963000111;Grande Porte;RN;Barcelona;2401503;DTH;20
2019;6;OI;05423963000111;Grande Porte;PR;Terra Boa;4127205;DTH;130
2019;6;OI;05423963000111;Grande Porte;BA;São José da Vitória;2929354;DTH;32
2019;6;OI;05423963000111;Grande Porte;RN;Augusto Severo;2401305;DTH;2
2019;6;OI;05423963000111;Grande Porte;MG;Montes Claros;3143302;DTH;2868
2019;6;OI;05423963000111;Grande Porte;BA;Uruçuca;2932705;DTH;235
2019;6;OI;05423963000111;Grande Porte;PR;Mamborê;4114005;DTH;104
2019;6;OI;05423963000111;Grande Porte;MG;Catas Altas;3115359;DTH;143
2019;6;OI;05423963000111;Grande Porte;PR;Porto Rico;4120200;DTH;78
2019;6;OI;05423963000111;Grande Porte;TO;Carrasco Bonito;1703891;DTH;2
2019;6;OI;05423963000111;Grande Porte;TO;Lavandeira;1712157;DTH;7
2019;6;OI;05423963000111;Grande Porte;PB;Riacho dos Cavalos;2512804;DTH;1
2019;6;OI;05423963000111;Grande Porte;RN;Caiçara do Rio do Vento;2401909;DTH;17
2019;6;OI;05423963000111;Grande Porte;MG;Ninheira;3144656;DTH;106
2019;6;OI;05423963000111;Grande Porte;BA;Santa Luzia;2928059;DTH;148
2019;6;OI;05423963000111;Grande Porte;BA;Mata de São João;2921005;DTH;278
2019;6;OI;05423963000111;Grande Porte;AL;Jacaré dos Homens;2703403;DTH;32
2019;6;OI;05423963000111;Grande Porte;PR;Maria Helena;4114708;DTH;65
2019;6;OI;05423963000111;Grande Porte;PR;Maringá;4115200;DTH;2612
2019;6;OI;05423963000111;Grande Porte;MG;Inconfidentes;3130606;DTH;206
2019;6;OI;05423963000111;Grande Porte;RS;Mostardas;4312500;DTH;128
2019;6;OI;05423963000111;Grande Porte;MG;Tocos do Moji;3169059;DTH;139
2019;6;OI;05423963000111;Grande Porte;MG;Botelhos;3108404;DTH;671
2019;6;OI;05423963000111;Grande Porte;PB;Salgadinho;2513000;DTH;4
2019;6;OI;05423963000111;Grande Porte;TO;Alvorada;1700707;DTH;62
2019;6;OI;05423963000111;Grande Porte;PA;Eldorado do Carajás;1502954;DTH;173
